"No.","Time","Source","Destination","Protocol","Length","Info"
"14666","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14667","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14668","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14669","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14670","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14671","139.423895","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14672","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14673","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14674","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14675","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14676","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14677","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14678","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14679","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14680","139.424278","104.18.32.47","192.168.88.132","QUIC","1032","Protected Payload (KP0)"
"14681","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14682","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14683","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14684","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14685","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14686","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14687","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14688","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14689","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14690","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14691","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14692","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14693","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14694","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14695","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14696","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14697","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14698","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14699","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14700","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14701","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14702","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14703","139.424278","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14704","139.424409","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14705","139.424514","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14706","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14707","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14708","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14709","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14710","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14711","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14712","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14713","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14714","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14715","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14716","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14717","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14718","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14719","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14720","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14721","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14722","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14723","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14724","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14725","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14726","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14727","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14728","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14729","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14730","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14731","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14732","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14733","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14734","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14735","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14736","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14737","139.424506","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14738","139.424619","192.168.88.132","104.18.32.47","QUIC","95","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14739","139.424679","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14740","139.424733","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14741","139.424767","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14742","139.424767","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14743","139.424767","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14744","139.424767","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
